Family,Genus,Species,ELH,Buchholz
Cracidae,Aburria,aburri,1,2
Cracidae,Chamaepetes,goudotii,1,3
Cracidae,Chamaepetes,unicolor,1,3
Cracidae,Crax,alberti,2,2
Cracidae,Crax,alector,1,2
Cracidae,Crax,blumenbachii,2,2
Cracidae,Crax,daubentoni,2,4
Cracidae,Crax,fasciolata,1,3
Cracidae,Crax,globulosa,2,4
Cracidae,Crax,rubra,2,3
Cracidae,Nothocrax,urumutum,2,3
Cracidae,Oreophasis,derbianus,2,3
Cracidae,Ortalis,canicollis,2,3
Cracidae,Ortalis,cinereiceps,1,3
Cracidae,Ortalis,erythroptera,2,3
Cracidae,Ortalis,garrula,1,3
Cracidae,Ortalis,guttata,1,2
Cracidae,Ortalis,leucogastra,2,2
Cracidae,Ortalis,motmot,1,3
Cracidae,Ortalis,poliocephala,2,3
Cracidae,Ortalis,ruficauda,1,3
Cracidae,Ortalis,vetula,1,3
Cracidae,Ortalis,wagleri,2,3
Cracidae,Pauxi,pauxi,2,0
Cracidae,Pauxi,unicornis,2,0
Cracidae,Penelope,albipennis,3,5
Cracidae,Penelope,argyrotis,2,3
Cracidae,Penelope,barbata,1,3
Cracidae,Penelope,dabbenei,2,3
Cracidae,Penelope,jacquacu,2,4
Cracidae,Penelope,jacucaca,2,3
Cracidae,Penelope,marail,2,4
Cracidae,Penelope,montagnii,1,2
Cracidae,Penelope,obscura,2,4
Cracidae,Penelope,ochrogaster,2,3
Cracidae,Penelope,pileata,2,3
Cracidae,Penelope,purpurascens,3,4
Cracidae,Penelope,superciliaris,2,4
Cracidae,Penelopina,nigra,1,3
Cracidae,Pipile,cujubi,2,4
Cracidae,Pipile,jacutinga,3,4
Cracidae,Pipile,pipile,2,5
Megapodiidae,Aepypodius,arfakianus,5,3
Megapodiidae,Aepypodius,bruijnii,5,4
Megapodiidae,Alectura,lathami,5,4
Megapodiidae,Eulipoa,wallacei,0,0
Megapodiidae,Leipoa,ocellata,0,0
Megapodiidae,Megapodius,eremita,1,1
Megapodiidae,Megapodius,freycinet,1,1
Megapodiidae,Megapodius,reinwardt,0,1
Megapodiidae,Talegalla,fuscirostris,2,2
Megapodiidae,Talegalla,jobiensis,2,2
Numididae,Acryllium,vulturinum,2,3
Numididae,Agelastes,meleagrides,3,3
Numididae,Agelastes,niger,3,3
Numididae,Guttera,plumifera,3,3
Numididae,Guttera,pucherani,2,3
Numididae,Numida,meleagris,4,3
Odontophoridae,Callipepla,californica,0,0
