species,Family,Altitude median,Altitude_quart25,Altitude_quart75,ndvi_min,ndvi_mean,ndvi_max,solr_min,solr_mean,solr_max,temp_mean,temp_max,temp_min,Altitude_PC1,NDVI_PC1,Solar_PC1,Temp_PC1
Alectura_lathami,Megapodiidae,89.6875,19.125,351.125,-0.0104,0.050191667,0.439700007,11313,17949.66602,24252,199,271,106,-1401.979544,-0.024417047,129.7626303,-14.18190056
Aepypodius_arfakianus,Megapodiidae,1495.5625,976.984375,1942.375,0,0.093033336,0.321400002,14581.5,16240.16699,18249.5,181.5,206,152,913.1295634,-0.128805879,1679.715051,-26.98485391
Aepypodius_bruijnii,Megapodiidae,86.53125,56.109375,156.515625,0.062399998,0.152929172,0.608399987,14801.5,16948.375,18571.5,265,278,252,-1507.897844,0.163985454,2242.405288,-169.7738664
Talegalla_fuscirostris,Megapodiidae,45.28125,24.53125,70.453125,-0.023800001,0.095895831,0.486600012,15195,17359.83301,19263,259,293,226,-1602.441109,0.032209454,2837.542269,-149.0006921
Talegalla_jobiensis,Megapodiidae,82.6875,36.53125,475.65625,-0.020400001,0.1259,0.453199998,14851,16579.75,18535.5,261,285,233,-1318.647174,0.007083018,2101.69327,-153.8312988
Leipoa_ocellata,Megapodiidae,82.75,59.25,184.9375,-0.00945,0.062058333,0.279100001,8513.5,18101.91602,27797.5,169,299,60,-1490.581847,-0.177334889,-1960.944224,32.28848559
Macrocephalon_maleo,Megapodiidae,154.3125,22,396.8125,-0.017100001,0.082525,0.407399997,15939,17829.75,20077,258.5,281,237.5,-1333.778287,-0.04788462,3774.740048,-155.2470631
Eulipoa_wallacei,Megapodiidae,72.5,7.734375,244.84375,0,0.065508334,0.417999998,15188,17181.70801,19008,263.5,281,246,-1484.926072,-0.041777053,2724.991612,-164.8080191
Megapodius_pritchardii,Megapodiidae,18.5625,10.34375,42.65625,0,0.005916667,0.136999995,12038,16620.79199,20083.5,264.5,281,248,-1642.85813,-0.328836979,-204.3005529,-166.965957
Megapodius_laperouse,Megapodiidae,13.6875,2.859375,57.3125,0,0.005916667,0.136999995,14952,16666.41699,18069,275,287,265,-1640.264883,-0.328836979,2197.120514,-187.8047339
Megapodius_cumingii,Megapodiidae,21,5.1875,182.53125,-0.00065,0.066916667,0.381400004,15131,16693.75,20054,271.5,289.5,254,-1555.756342,-0.076938659,2513.941866,-177.5824346
Megapodius_bernsteinii,Megapodiidae,61.25,27.90625,441.875,0.04645,0.084924996,0.608899981,15520.5,17856.83398,20299.5,266,281,249,-1356.92087,0.148004489,3441.387369,-168.5645529
Megapodius_tenimberensis,Megapodiidae,30.6875,0.28125,101.625,-0.012,0.019708334,0.227899998,15923.5,18930,22102.5,270,286,251,-1603.632369,-0.237276908,4452.554961,-173.4955812
