Species,MatingSystem,BSD,SpurPresence,ParentalCare,Plumage_dim_sum
Alectura_lathami,1,0.1667,0,0,0
Aepypodius_arfakianus,1,0.0333,0,0,0
Aepypodius_bruijnii,1,0.1785247,0,0,0
Talegalla_fuscirostris,0,0.0579,0,0,0
Talegalla_jobiensis,0,0.1824,0,0,0
Leipoa_ocellata,0,0.1306,0,0,0
Macrocephalon_maleo,0,-0.0596,0,0,0
Eulipoa_wallacei,0,0.02,0,0,0
Megapodius_pritchardii,0,-0.1358,0,0,0
Megapodius_laperouse,0,-0.338,0,0,0
Megapodius_cumingii,0,0.19527411,0,0,0
Megapodius_bernsteinii,0,0.13989194,0,0,0
Megapodius_tenimberensis,0,0.19527411,0,0,0
Megapodius_freycinet,0,0.0349,0,0,0
Megapodius_geelvinkianus,0,0.13989194,0,0,0
Megapodius_eremita,0,0.104,0,0,0
Megapodius_layardi,0,0.13938776,0,0,0
Megapodius_decollatus,0,0.1514,0,0,0
Megapodius_reinwardt,0,0.2365,0,0,0
Ortalis_vetula,0,0.0775,0,2,0
Ortalis_cinereiceps,0,0.0851,0,2,0
Ortalis_garrula,0,0.1984,0,1,0
Ortalis_ruficauda,0,0.1918,0,2,0
Ortalis_erythroptera,0,0.0403,0,2,0
Ortalis_wagleri,0,0.0119,0,2,0
Ortalis_poliocephala,0,0.1331,0,2,0
Ortalis_canicollis,0,0.0635,0,2,0
Ortalis_leucogastra,0,-0.2161,0,1,0
Ortalis_guttata,0,0.2,0,2,0
Ortalis_motmot,0,0.0697,0,2,0
Penelope_argyrotis,0,0.092,0,2,0
Penelope_barbata,0,0.10684035,0,2,0
Penelope_montagnii,0,0.1931,0,2,0
Penelope_marail,0,0.0561,0,2,0
Penelope_superciliaris,1,0.14078088,0,2,0
Penelope_dabbenei,0,0.09370596,0,2,0
Penelope_purpurascens,0,-0.0085,0,2,0
Penelope_albipennis,0,0.16141179,0,1,0
Penelope_jacquacu,0,0.112,0,2,0
Penelope_obscura,1,0.091,0,2,0
Penelope_pileata,0,-0.2254,0,2,0
Penelope_ochrogaster,0,-0.06148795,0,2,0
Penelope_jacucaca,0,-0.06148795,0,2,0
Pipile_pipile,0,-0.1614,0,2,1
Pipile_cumanensis,0,0.1432,0,2,0
Pipile_cujubi,0,-0.01732433,0,2,0
Pipile_jacutinga,0,-0.0438,0,2,0
Aburria_aburri,0,0.1245,0,2,0
Chamaepetes_unicolor,0,0.1546,0,2,0
Chamaepetes_goudotii,0,-0.1138,0,2,0
Penelopina_nigra,1,0.18370798,0,1,8
Oreophasis_derbianus,1,0.1402,0,1,0
Nothocrax_urumutum,0,0.22448288,0,2,1
Mitu_tomentosum,1,0.2369,0,2,0
Mitu_salvini,0,0.23190691,0,1,0
Mitu_tuberosum,1,0.425,0,2,0
Mitu_mitu,1,0.0783,0,2,0
Pauxi_pauxi,0,0.3333,0,1,0
Pauxi_unicornis,1,0.0634,0,1,0
Crax_rubra,0,0.1398,0,2,9
Crax_alberti,0,1.1875,0,2,7
Crax_daubentoni,0,0.1561,0,1,1
Crax_alector,0,0.149,0,1,1
Crax_globulosa,0,0.21716148,0,2,2
Crax_fasciolata,0,0.1224,0,1,11
Crax_blumenbachii,0,0.1129,0,2,3
Agelastes_meleagrides,0,0.16047442,1,2,0
