Species,Female,Male,Dimor,SizeChange,ParentalCare,Plumage_dim_sum,MatingSystem,BSD,Altitude_PC1,NDVI_PC1,Solar_PC1,Temp_PC1,NDVI,Solar,Temp,Altitude,group,erect,outlier
Alectura_lathami,2,5,3,1.5,0,0,nonM,0.1667,-1401.979544,-0.024417047,129.7626303,-14.18190056,-0.024417047,129.7626303,14.18190056,-1401.979544,non-Phasianidae,non-erectile,non-Phasianidae
Aepypodius_arfakianus,4,5,1,1,0,0,nonM,0.0333,913.1295634,-0.128805879,1679.715051,-26.98485391,-0.128805879,1679.715051,26.98485391,913.1295634,non-Phasianidae,non-erectile,non-Phasianidae
Aepypodius_bruijnii,4,5,1,1,0,0,nonM,0.1785247,-1507.897844,0.163985454,2242.405288,-169.7738664,0.163985454,2242.405288,169.7738664,-1507.897844,non-Phasianidae,non-erectile,non-Phasianidae
Talegalla_fuscirostris,2,2,0,1,0,0,M,0.0579,-1602.441109,0.032209454,2837.542269,-149.0006921,0.032209454,2837.542269,149.0006921,-1602.441109,non-Phasianidae,non-erectile,non-Phasianidae
Talegalla_jobiensis,2,2,0,1,0,0,M,0.1824,-1318.647174,0.007083018,2101.69327,-153.8312988,0.007083018,2101.69327,153.8312988,-1318.647174,non-Phasianidae,non-erectile,non-Phasianidae
Leipoa_ocellata,0,0,0,0,0,0,M,0.1306,-1490.581847,-0.177334889,-1960.944224,32.28848559,-0.177334889,-1960.944224,-32.28848559,-1490.581847,non-Phasianidae,No_FS,non-Phasianidae
Macrocephalon_maleo,3,3,0,1,0,0,M,-0.0596,-1333.778287,-0.04788462,3774.740048,-155.2470631,-0.04788462,3774.740048,155.2470631,-1333.778287,non-Phasianidae,non-erectile,non-Phasianidae
Eulipoa_wallacei,0,0,0,0,0,0,M,0.02,-1484.926072,-0.041777053,2724.991612,-164.8080191,-0.041777053,2724.991612,164.8080191,-1484.926072,non-Phasianidae,No_FS,non-Phasianidae
Megapodius_pritchardii,1,1,0,1,0,0,M,-0.1358,-1642.85813,-0.328836979,-204.3005529,-166.965957,-0.328836979,-204.3005529,166.965957,-1642.85813,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_laperouse,1,1,0,1,0,0,M,-0.338,-1640.264883,-0.328836979,2197.120514,-187.8047339,-0.328836979,2197.120514,187.8047339,-1640.264883,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_cumingii,1,1,0,1,0,0,M,0.19527411,-1555.756342,-0.076938659,2513.941866,-177.5824346,-0.076938659,2513.941866,177.5824346,-1555.756342,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_bernsteinii,1,1,0,1,0,0,M,0.13989194,-1356.92087,0.148004489,3441.387369,-168.5645529,0.148004489,3441.387369,168.5645529,-1356.92087,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_tenimberensis,1,1,0,1,0,0,M,0.19527411,-1603.632369,-0.237276908,4452.554961,-173.4955812,-0.237276908,4452.554961,173.4955812,-1603.632369,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_freycinet,1,1,0,1,0,0,M,0.0349,-1529.644543,0.000366467,2645.718941,-170.2028637,0.000366467,2645.718941,170.2028637,-1529.644543,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_geelvinkianus,1,1,0,1,0,0,M,0.13989194,-1557.504952,0.005549984,4621.77788,-178.2583015,0.005549984,4621.77788,178.2583015,-1557.504952,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_eremita,1,1,0,1,0,0,M,0.104,-1590.072692,-0.115074367,5904.46415,-171.8605941,-0.115074367,5904.46415,171.8605941,-1590.072692,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_layardi,2,2,0,1,0,0,M,0.13938776,-1557.299774,0.235045214,2565.269283,-153.3295192,0.235045214,2565.269283,153.3295192,-1557.299774,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_decollatus,1,1,0,1,0,0,M,0.1514,-714.1736653,-0.033287598,1498.169669,-138.9136409,-0.033287598,1498.169669,138.9136409,-714.1736653,non-Phasianidae,non-erectile,non-Phasianidae
Megapodius_reinwardt,0,0,0,0,0,0,M,0.2365,-1596.974504,-0.173900223,4389.294846,-122.7992622,-0.173900223,4389.294846,122.7992622,-1596.974504,non-Phasianidae,No_FS,non-Phasianidae
Ortalis_vetula,1,1,0,1,2,0,M,0.0775,-1411.043012,0.109145244,2186.164777,-116.6865596,0.109145244,2186.164777,116.6865596,-1411.043012,non-Phasianidae,non-erectile,non-Phasianidae
Ortalis_cinereiceps,1,1,0,1,2,0,M,0.0851,-911.2854805,-0.052596069,5303.744207,-132.5920396,-0.052596069,5303.744207,132.5920396,-911.2854805,non-Phasianidae,non-erectile,non-Phasianidae
Ortalis_garrula,1,1,0,1,1,0,M,0.1984,-1585.478749,-0.072433262,5589.444586,-164.5125109,-0.072433262,5589.444586,164.5125109,-1585.478749,non-Phasianidae,non-erectile,non-Phasianidae
Ortalis_ruficauda,1,1,0,1,2,0,M,0.1918,-883.7456649,0.115917909,3575.212706,-136.4544231,0.115917909,3575.212706,136.4544231,-883.7456649,non-Phasianidae,non-erectile,non-Phasianidae
Ortalis_erythroptera,2,2,0,1,2,0,M,0.0403,-991.5366988,-0.258598391,-2107.587107,-96.489714,-0.258598391,-2107.587107,96.489714,-991.5366988,non-Phasianidae,non-erectile,non-Phasianidae
Ortalis_wagleri,2,2,0,1,2,0,M,0.0119,-1396.832134,-0.079253077,1386.360134,-98.48388101,-0.079253077,1386.360134,98.48388101,-1396.832134,non-Phasianidae,non-erectile,non-Phasianidae
Ortalis_poliocephala,2,2,0,1,2,0,M,0.1331,-847.2135954,0.044391813,2924.79723,-118.4137486,0.044391813,2924.79723,118.4137486,-847.2135954,non-Phasianidae,non-erectile,non-Phasianidae
