Species,Female,Male,Dimor,SIZE_CHANGE
Alectura_lathami,2,5,3,1.5
Aepypodius_arfakianus,4,5,1,1
Aepypodius_bruijnii,4,5,1,1
Talegalla_fuscirostris,2,2,0,1
Talegalla_jobiensis,2,2,0,1
Leipoa_ocellata,0,0,0,0
Macrocephalon_maleo,3,3,0,1
Eulipoa_wallacei,0,0,0,0
Megapodius_pritchardii,1,1,0,1
Megapodius_laperouse,1,1,0,1
Megapodius_cumingii,1,1,0,1
Megapodius_bernsteinii,1,1,0,1
Megapodius_tenimberensis,1,1,0,1
Megapodius_freycinet,1,1,0,1
Megapodius_geelvinkianus,1,1,0,1
Megapodius_eremita,1,1,0,1
Megapodius_layardi,2,2,0,1
Megapodius_decollatus,1,1,0,1
Megapodius_reinwardt,0,0,0,0
Ortalis_vetula,1,1,0,1
Ortalis_cinereiceps,1,1,0,1
Ortalis_garrula,1,1,0,1
Ortalis_ruficauda,1,1,0,1
Ortalis_erythroptera,2,2,0,1
Ortalis_wagleri,2,2,0,1
Ortalis_poliocephala,2,2,0,1
Ortalis_canicollis,2,2,0,1
Ortalis_leucogastra,2,2,0,1
Ortalis_guttata,1,1,0,1
Ortalis_motmot,1,1,0,1
Penelope_argyrotis,2,2,0,1
Penelope_barbata,1,1,0,1
Penelope_montagnii,1,1,0,1
Penelope_marail,2,2,0,1
Penelope_superciliaris,2,2,0,1
Penelope_dabbenei,2,2,0,1
Penelope_purpurascens,3,3,0,1
Penelope_albipennis,3,3,0,1
Penelope_jacquacu,2,2,0,1
Penelope_obscura,2,2,0,1
Penelope_pileata,2,2,0,1
Penelope_ochrogaster,2,2,0,1
Penelope_jacucaca,2,2,0,1
Pipile_pipile,2,2,0,1
Pipile_cumanensis,2,2,0,1
Pipile_cujubi,2,2,0,1
Pipile_jacutinga,3,3,0,1
Aburria_aburri,2,1,-1,1
Chamaepetes_unicolor,1,1,0,1
Chamaepetes_goudotii,1,1,0,1
Penelopina_nigra,0,1,1,1
Oreophasis_derbianus,2,2,0,1
Nothocrax_urumutum,2,2,0,1
Mitu_tomentosum,0,0,0,0
Mitu_salvini,0,0,0,0
Mitu_tuberosum,2,2,0,1
Mitu_mitu,1,1,0,1
Pauxi_pauxi,2,2,0,1
Pauxi_unicornis,2,2,0,1
Crax_rubra,0,2,2,1
Crax_alberti,0,2,2,1
Crax_daubentoni,1,2,1,1
Crax_alector,1,1,0,1
Crax_globulosa,1,2,1,1
Crax_fasciolata,0,1,1,1
Crax_blumenbachii,0,2,2,1
Agelastes_meleagrides,3,3,0,1
Agelastes_niger,3,3,0,1
Numida_meleagris,4,4,0,1
Guttera_plumifera,3,3,0,1
Guttera_pucherani,2,2,0,1
Acryllium_vulturinum,2,2,0,1
Ptilopachus_petrosus,1,1,0,1
Ptilopachus_nahani,1,1,0,1
Dendrortyx_barbatus,1,1,0,1
Dendrortyx_macroura,1,1,0,1
Dendrortyx_leucophrys,1,1,0,1
Oreortyx_pictus,0,0,0,0
Callipepla_squamata,0,0,0,0
Callipepla_douglasii,0,0,0,0
Callipepla_californica,0,0,0,0
Callipepla_gambelii,0,0,0,0
Philortyx_fasciatus,0,0,0,0
Colinus_virginianus,0,0,0,0
Colinus_nigrogularis,0,0,0,0
Colinus_leucopogon,0,0,0,0
Colinus_cristatus,0,0,0,0
Odontophorus_gujanensis,1,1,0,1
Odontophorus_capueira,1,1,0,1
Odontophorus_melanotis,1,1,0,1
Odontophorus_erythrops,1,1,0,1
Odontophorus_hyperythrus,0,0,0,0
Odontophorus_melanonotus,1,1,0,1
Odontophorus_speciosus,1,1,0,1
Odontophorus_strophium,0,0,0,0
Odontophorus_columbianus,0,0,0,0
Odontophorus_leucolaemus,0,0,0,0
Odontophorus_balliviani,1,1,0,1
Odontophorus_stellatus,1,1,0,1
Odontophorus_guttatus,0,0,0,0
Dactylortyx_thoracicus,0,0,0,0
Cyrtonyx_montezumae,0,0,0,0
